hsl2rgb,gen_jit_hsl2rgb
rgb2hsl,gen_jit_rgb2hsl
cell,gen_jit_cell
dim,gen_jit_dim
norm,gen_jit_norm
snorm,gen_jit_snorm
qconj,gen_jit_qconj
qmul,gen_jit_qmul
qrot,gen_jit_qrot
nearest,gen_jit_nearest
nearestpix,gen_jit_nearestpix
sample,gen_jit_sample
samplepix,gen_jit_samplepix
circle,gen_jit_circle
cone,gen_jit_cone
cylinder,gen_jit_cylinder
plane,gen_jit_plane
sphere,gen_jit_sphere
torus,gen_jit_torus
concat,gen_jit_concat
cross,gen_jit_cross
dot,gen_jit_dot
faceforward,gen_jit_faceforward
length,gen_jit_length
normalize,gen_jit_normalize
reflect,gen_jit_reflect
refract,gen_jit_refract
rotor,gen_jit_rotor
swiz,gen_jit_swiz
vec,gen_jit_vec
